id,team_h_difficulty,team_a_difficulty,kickoff_time,team_h_score,team_a_score,event,team_a,team_h,team_h_game_number,team_a_game_number,team_h_points,team_a_points,team_h_running_points,team_a_running_points
0,4,4,2018-08-12T15:00:00Z,0,2,0,12,0,1,1,0,3,0,3
1,2,3,2018-08-11T14:00:00Z,2,0,0,4,1,1,1,3,0,3,0
2,2,2,2018-08-11T14:00:00Z,0,2,0,6,8,1,1,0,3,0,3
3,4,2,2018-08-11T14:00:00Z,0,3,0,5,9,1,1,0,3,0,3
4,3,5,2018-08-12T12:30:00Z,4,0,0,18,11,1,1,3,0,3,0
5,3,4,2018-08-10T19:00:00Z,2,1,0,10,13,1,1,3,0,3,0
6,4,3,2018-08-11T11:30:00Z,1,2,0,16,14,1,1,0,3,0,3
7,2,2,2018-08-12T12:30:00Z,0,0,0,3,15,1,1,1,1,1,1
8,2,3,2018-08-11T14:00:00Z,2,0,0,2,17,1,1,3,0,3,0
9,2,3,2018-08-11T16:30:00Z,2,2,0,7,19,1,1,1,1,1,1
10,4,2,2018-08-19T15:00:00Z,3,2,1,13,2,2,2,3,0,3,3
11,3,3,2018-08-19T12:30:00Z,1,3,1,17,3,2,2,0,3,1,6
12,2,2,2018-08-18T11:30:00Z,0,0,1,14,4,2,2,1,1,1,1
13,4,4,2018-08-18T16:30:00Z,3,2,1,0,5,2,2,3,0,6,0
14,4,2,2018-08-20T19:00:00Z,0,2,1,11,6,2,2,0,3,3,6
15,2,3,2018-08-18T14:00:00Z,2,1,1,15,7,2,2,3,0,4,1
16,3,3,2018-08-18T14:00:00Z,2,0,1,19,10,2,2,3,0,3,1
17,2,5,2018-08-19T12:30:00Z,6,1,1,9,12,2,2,3,0,6,0
18,2,4,2018-08-18T14:00:00Z,3,1,1,8,16,2,2,3,0,6,0
19,2,3,2018-08-18T14:00:00Z,1,2,1,1,18,2,2,0,3,0,6
20,3,4,2018-08-25T14:00:00Z,3,1,2,18,0,3,3,3,0,3,0
21,2,3,2018-08-25T14:00:00Z,2,2,2,7,1,3,3,1,1,7,5
22,2,2,2018-08-26T15:00:00Z,4,2,2,3,8,3,3,3,0,3,1
