id,first_name,second_name,web_name,position,team,squad_number
0,Petr,Cech,Cech,0,0,1
1,Bernd,Leno,Leno,0,0,19
2,Laurent,Koscielny,Koscielny,1,0,6
3,Héctor,Bellerín,Bellerín,1,0,2
4,Nacho,Monreal,Monreal,1,0,18
5,Rob,Holding,Holding,1,0,16
6,Shkodran,Mustafi,Mustafi,1,0,20
7,Sead,Kolasinac,Kolasinac,1,0,31
8,Calum,Chambers,Chambers,1,8,5
9,Konstantinos,Mavropanos,Mavropanos,1,0,27
10,Stephan,Lichtsteiner,Lichtsteiner,1,0,12
11,Sokratis,Papastathopoulos,Sokratis,1,0,5
12,Mesut,Özil,Özil,2,0,10
13,Aaron,Ramsey,Ramsey,2,0,8
14,Alex,Iwobi,Iwobi,2,0,17
15,Mohamed,Elneny,Elneny,2,0,4
16,Granit,Xhaka,Xhaka,2,0,34
17,Henrikh,Mkhitaryan,Mkhitaryan,2,0,7
18,Reiss,Nelson,Nelson,2,0,48
19,Ainsley,Maitland-Niles,Maitland-Niles,2,0,15
20,Danny,Welbeck,Welbeck,3,0,23
21,Alexandre,Lacazette,Lacazette,3,0,9
22,Pierre-Emerick,Aubameyang,Aubameyang,3,0,14
23,Asmir,Begovic,Begovic,0,1,27
24,Artur,Boruc,Boruc,0,1,1
25,Simon,Francis,Francis,1,1,2
26,Steve,Cook,Steve Cook,1,1,3
27,Charlie,Daniels,Daniels,1,1,11
28,Adam,Smith,Adam Smith,1,1,15
29,Tyrone,Mings,Mings,1,1,26
30,Nathan,Aké,Aké,1,1,5
31,Jack,Simpson,Simpson,1,1,25
32,Harry,Arter,Arter,2,4,7
33,Marc,Pugh,Pugh,2,1,7
34,Andrew,Surman,Surman,2,1,6
35,Junior,Stanislas,Stanislas,2,1,19
36,Dan,Gosling,Gosling,2,1,4
37,Jordon,Ibe,Ibe,2,1,10
38,Lewis,Cook,Lewis Cook,2,1,16
39,Ryan,Fraser,Fraser,2,1,24
40,Emerson,Hyndman,Hyndman,2,1,22
41,David,Brooks,Brooks,2,1,20
42,Callum,Wilson,Wilson,3,1,13
43,Lys,Mousset,Mousset,3,1,9
44,Joshua,King,King,3,1,17
45,Jermain,Defoe,Defoe,3,1,18
46,Mathew,Ryan,Ryan,0,2,1
47,Lewis,Dunk,Dunk,1,2,5
48,Shane,Duffy,Duffy,1,2,4
49,Bruno,Saltor Grau,Bruno,1,2,2
50,Gaëtan,Bong,Bong,1,2,3
51,Markus,Suttner,Suttner,1,2,29
52,Ezequiel,Schelotto,Schelotto,1,2,21
53,Leon,Balogun,Balogun,1,2,14
54,Anthony,Knockaert,Knockaert,2,2,11
55,Dale,Stephens,Stephens,2,2,6
56,Beram,Kayal,Kayal,2,2,7
57,Solomon,March,March,2,2,20
58,Pascal,Groß,Groß,2,2,13
59,Davy,Pröpper,Pröpper,2,2,24
60,José Heriberto,Izquierdo Mena,Izquierdo,2,2,19
61,Glenn,Murray,Murray,3,2,17
62,Tomer,Hemed,Hemed,3,2,25
63,Sam,Baldock,Baldock,3,2,9
64,Jürgen,Locadia,Locadia,3,2,9
65,Florin,Andone,Andone,3,2,10
66,Tom,Heaton,Heaton,0,3,1
67,Nick,Pope,Pope,0,3,29
68,Matthew,Lowton,Lowton,1,3,2
69,Ben,Mee,Mee,1,3,6
70,Stephen,Ward,Ward,1,3,23
71,James,Tarkowski,Tarkowski,1,3,5
72,Kevin,Long,Long,1,3,28
73,Charlie,Taylor,Taylor,1,3,3
74,Phil,Bardsley,Bardsley,1,3,26
75,Johann Berg,Gudmundsson,Gudmundsson,2,3,7
76,Steven,Defour,Defour,2,3,16
77,Jeff,Hendrick,Hendrick,2,3,13
78,Robbie,Brady,Brady,2,3,12
79,Ashley,Westwood,Westwood,2,3,18
80,Jonathan,Walters,Walters,2,3,0
81,Jack,Cork,Cork,2,3,4
82,Aaron,Lennon,Lennon,2,3,25
83,Sam,Vokes,Vokes,3,3,9
84,Ashley,Barnes,Barnes,3,3,10
85,Nahki,Wells,Wells,3,3,21
86,Chris,Wood,Wood,3,3,11
87,Neil,Etheridge,Etheridge,0,4,1
88,Alex,Smithies,Smithies,0,4,12
89,Sean,Morrison,Morrison,1,4,4
90,Sol,Bamba,Bamba,1,4,22
91,Bruno,Ecuele Manga,Ecuele Manga,1,4,5
92,Matthew,Connolly,Connolly,1,4,16
93,Joe,Bennett,Bennett,1,4,3
94,Lee,Peltier,Peltier,1,4,2
95,Ashley Darel Jazz,Richards,Jazz Richards,1,4,6
96,Greg,Halford,Halford,1,4,0
97,Joe,Ralls,Ralls,2,4,8
98,David Junior,Hoilett,Hoilett,2,4,33
99,Nathaniel,Mendez-Laing,Mendez-Laing,2,4,19
100,Callum,Paterson,Paterson,2,4,13
101,Aron,Gunnarsson,Gunnarsson,2,4,17
102,Anthony,Pilkington,Pilkington,2,4,0
103,Loïc,Damour,Damour,2,4,20
104,Danny,Ward,Ward,2,4,9
105,Josh,Murphy,Murphy,2,4,11
106,Kenneth,Zohore,Zohore,3,4,10
107,Omar,Bogle,Bogle,3,4,30
108,Gary,Madine,Madine,3,4,24
109,Bobby,Reid,Reid,3,4,14
110,Thibaut,Courtois,Courtois,0,5,13
111,Willy,Caballero,Caballero,0,5,13
112,César,Azpilicueta,Azpilicueta,1,5,28
113,Gary,Cahill,Cahill,1,5,24
114,Marcos,Alonso,Alonso,1,5,3
115,David,Luiz Moreira Marinho,David Luiz,1,5,30
116,Victor,Moses,Moses,1,5,15
117,Antonio,Rüdiger,Rüdiger,1,5,2
118,Andreas,Christensen,Christensen,1,5,27
119,Davide,Zappacosta,Zappacosta,1,5,21
120,Emerson,Palmieri dos Santos,Emerson,1,5,33
121,Eden,Hazard,Hazard,2,5,10
122,Cesc,Fàbregas,Fàbregas,2,5,4
123,Willian,Borges Da Silva,Willian,2,5,22
124,Pedro,Rodríguez Ledesma,Pedro,2,5,11
125,N'Golo,Kanté,Kanté,2,5,7
126,Ross,Barkley,Barkley,2,5,8
127,Daniel,Drinkwater,Drinkwater,2,5,6
128,Tiemoué,Bakayoko,Bakayoko,2,5,14
129,Ethan,Ampadu,Ampadu,2,5,44
130,Callum,Hudson-Odoi,Hudson-Odoi,2,5,20
131,Ruben,Loftus-Cheek,Loftus-Cheek,2,5,12
132,Olivier,Giroud,Giroud,3,5,18
133,Álvaro,Morata,Morata,3,5,29
134,Wayne,Hennessey,Hennessey,0,6,13
135,Julian,Speroni,Speroni,0,6,1
136,Vicente,Guaita,Guaita,0,6,31
137,James,Tomkins,Tomkins,1,6,5
138,Scott,Dann,Dann,1,6,6
139,Martin,Kelly,Kelly,1,6,34
140,Jeffrey,Schlupp,Schlupp,1,6,15
141,Patrick,van Aanholt,van Aanholt,1,6,3
142,Mamadou,Sakho,Sakho,1,6,12
143,Jairo,Riedewald,Riedewald,1,6,44
