was_home,team_top_6,opponent_team_top_6,GKP,DEF,MID,FWD,prev_value,diff_value,played_last_game,minutes_form,threat_form,bps_form,selected_form,transfers_balance_form,player_points_contribution_form,team_total_points_form,team_league_points_form,expected_points,opponent_team_league_points_form,team_form_difference,opponent_team_total_points_form,team_total_points_difference
True,True,True,True,False,False,False,50.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,False,50.0,0.0,True,45.0,0.0,13.778327831224672,35383.5,0.0,0.07894736842105263,9.5,0.0,0.75,1.5,-1.5,40.0,-30.5
True,True,False,True,False,False,False,50.0,0.0,True,90.0,0.0,23.2835000863697,80402.5,94.0,0.12306501547987617,26.5,0.0,3.0,0.0,0.0,19.5,7.0
False,True,False,True,False,False,False,50.0,0.0,True,90.0,0.0,20.67773590499361,98669.5,4364.0,0.0760325406758448,40.5,1.5,3.0,1.0,0.5,55.0,-14.5
False,True,False,True,False,False,False,50.0,0.0,True,90.0,0.0,12.532387275627887,115433.5,9061.0,0.04302600472813239,46.0,3.0,2.0,0.0,3.0,27.0,19.0
True,True,False,True,False,False,False,50.0,0.0,True,90.0,0.0,11.56974517717561,123438.0,3142.5,0.03285024154589372,45.5,3.0,1.5,0.5,2.5,28.5,17.0
True,True,False,True,False,False,False,50.0,0.0,True,90.0,0.0,25.815752942514127,124048.5,-2047.0,0.10767663043478261,55.0,3.0,6.499999999999999,0.5,2.5,33.0,22.0
False,True,False,True,False,False,False,50.0,0.0,False,67.5,0.0,16.990091890552044,131839.0,4297.5,0.0941342213114754,62.5,3.0,4.874999999999999,0.5,2.5,26.5,36.0
True,True,False,True,False,False,False,50.0,0.0,False,22.5,0.0,4.886285416650951,123401.5,-9759.0,0.00819672131147541,64.5,3.0,0.25,1.5,1.5,48.0,16.5
False,True,False,True,False,False,False,50.0,0.0,False,0.0,0.0,0.4661734748914237,100318.0,-22652.5,0.0,58.5,3.0,0.0,0.0,3.0,18.0,40.5
True,True,True,True,False,False,False,50.0,0.0,False,0.0,0.0,0.0,91753.5,-9697.0,0.0,41.5,2.0,0.0,3.0,-1.0,60.5,-19.0
True,True,False,True,False,False,False,50.0,0.0,False,0.0,0.0,0.0,89337.5,-3219.0,0.0,34.5,1.0,0.0,0.0,1.0,31.0,3.5
False,True,False,True,False,False,False,50.0,0.0,False,0.0,0.0,0.0,86859.0,-3111.5,0.0,34.5,1.0,0.0,0.0,1.0,28.5,6.0
True,True,True,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,84708.0,-2752.5,0.0,37.0,2.0,0.0,3.0,-1.0,59.5,-22.5
False,True,True,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,82995.0,-2125.0,0.0,44.5,3.0,0.0,1.0,2.0,43.0,1.5
True,True,False,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,81707.5,-1568.0,0.0,40.0,2.0,0.0,0.0,2.0,24.0,16.0
False,True,False,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,80557.5,-1462.0,0.0,43.5,2.0,0.0,0.0,2.0,27.0,16.5
True,True,False,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,79224.5,-1705.5,0.0,47.0,1.5,0.0,1.5,0.0,42.0,5.0
False,True,False,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,77832.0,-1784.0,0.0,42.5,1.5,0.0,0.0,1.5,21.5,21.0
False,True,True,True,False,False,False,49.0,-1.0,False,0.0,0.0,0.0,76725.0,-1482.0,0.0,40.0,2.0,0.0,3.0,-1.0,76.0,-36.0
True,True,False,True,False,False,False,48.0,-2.0,False,0.0,0.0,0.0,75667.0,-1382.0,0.0,27.5,0.5,0.0,2.0,-1.5,45.0,-17.5
False,True,False,True,False,False,False,48.0,-2.0,False,0.0,0.0,0.0,74701.0,-1281.5,0.0,41.5,1.5,0.0,0.5,1.0,25.5,16.0
